block,index,ax_raw,ay_raw,az_raw
1,856,8191,-160,-602
1,857,8183,-161,-608
1,858,8182,-163,-613
1,859,8186,-160,-622
1,860,8180,-169,-607
1,861,8179,-168,-581
1,862,8187,-161,-582
1,863,8180,-141,-583
1,864,8198,-136,-601
1,865,8205,-148,-599
1,866,8195,-158,-585
1,867,8191,-162,-597
1,868,8186,-170,-590
1,869,8182,-168,-596
1,870,8180,-161,-592
1,871,8180,-161,-594
1,872,8173,-160,-589
1,873,8181,-162,-587
1,874,8191,-153,-586
1,875,8187,-150,-590
1,876,8183,-151,-596
1,877,8184,-155,-601
1,878,8178,-144,-602
1,879,8194,-131,-615
1,880,8196,-140,-623
1,881,8191,-136,-615
1,882,8193,-137,-626
1,883,8203,-152,-624
1,884,8187,-145,-621
1,885,8173,-143,-612
1,886,8174,-150,-607
1,887,8168,-146,-583
1,888,8183,-158,-584
1,889,8176,-146,-599
1,890,8161,-155,-586
1,891,8168,-155,-585
1,892,8175,-151,-590
1,893,8170,-141,-579
1,894,8188,-151,-582
1,895,8187,-152,-578
1,896,8188,-164,-597
1,897,8180,-161,-587
1,898,8181,-171,-614
1,899,8187,-158,-625
1,900,8179,-149,-602
1,901,8180,-150,-606
1,902,8199,-133,-603
1,903,8201,-147,-615
1,904,8206,-151,-601
1,905,8195,-159,-594
1,906,8181,-156,-598
1,907,8183,-157,-582
1,908,8201,-148,-615
1,909,8211,-146,-619
1,910,8205,-159,-604
1,911,8196,-148,-594
1,912,8186,-138,-599
1,913,8197,-151,-616
1,914,8207,-152,-608
1,915,8198,-151,-607
1,916,8189,-159,-589
1,917,8183,-158,-601
1,918,8190,-157,-601
1,919,8179,-165,-595
1,920,8171,-160,-599
1,921,8182,-170,-614
1,922,8191,-153,-602
1,923,8194,-137,-594
1,924,8191,-147,-629
1,925,8194,-153,-611
1,926,8185,-151,-598
1,927,8195,-151,-606
1,928,8208,-153,-614
1,929,8200,-150,-610
1,930,8186,-144,-618
1,931,8188,-152,-613
1,932,8180,-148,-600
1,933,8188,-137,-600
1,934,8199,-134,-601
1,935,8195,-144,-586
1,936,8200,-146,-594
1,937,8202,-151,-601
1,938,8196,-153,-589
1,939,8195,-157,-580
1,940,8187,-150,-584
1,941,8186,-155,-607
1,942,8174,-147,-618
1,943,8171,-157,-605
1,944,8189,-148,-607
1,945,8197,-150,-601
1,946,8205,-149,-586
1,947,8214,-144,-593
1,948,8215,-153,-595
1,949,8197,-154,-604
1,950,8197,-161,-596
1,951,8199,-156,-604
1,952,8190,-155,-603
1,953,8181,-147,-611
1,954,8181,-151,-615
1,955,8182,-149,-606
1,956,8175,-155,-601
1,957,8184,-149,-598
1,958,8181,-135,-610
1,959,8194,-143,-602
1,960,8204,-137,-597
1,961,8195,-141,-611
1,962,8193,-146,-618
1,963,8187,-147,-609
1,964,8197,-139,-583
1,965,8196,-151,-596
1,966,8201,-162,-627
1,967,8198,-159,-615
1,968,8201,-157,-602
1,969,8198,-159,-601
1,970,8187,-147,-595
1,971,8186,-155,-608
1,972,8190,-153,-615
1,973,8193,-138,-616
1,974,8189,-156,-604
1,975,8186,-161,-599
1,976,8169,-136,-611
1,977,8199,-149,-624
1,978,8181,-153,-621
1,979,8193,-155,-603
1,980,8190,-149,-605
1,981,8185,-155,-623
1,982,8185,-154,-623
1,983,8174,-154,-605
1,984,8195,-159,-588
1,985,8200,-171,-583
1,986,8198,-163,-612
1,987,8189,-151,-616
1,988,8188,-152,-618
1,989,8191,-157,-646
1,990,8178,-137,-627
